#	DATOS	Langostino	amarillo	área	norte	2017
#	n	yrs
33
#n	ages
11
#n	tallas																																																
43
#Yrs	desem	cpue	Bcru	ph	cv_desem	cv_CPUE	cv_Cru	cv_ph	n_mf	n_hf	n_mc	n_hc	#																																				
1985	1897	0	0	0.5	0.1	0.15	0.3	0.05	50	50	25	25	#
1986	1752	0	0	0.5	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1987	1114	0.83	0	0.5	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1988	3025	0.82	0	0.5	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1989	1436	1.00	0	0.5	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1990	1126	0.44	0	0.5	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1991	2230	1.33	0	0.5	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1992	779	0.00	0	0.5	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1993	877	2.00	0	0.511	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1994	889	2.27	0	0.521	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1995	1853	2.59	0	0.537	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1996	2688	3.12	0	0.46	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1997	1753	2.27	9171	0.281	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1998	2198	1.84	0	0.406	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
1999	3997	1.14	4270	0.443	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2000	3832	1.24	7296	0.315	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2001	1898	1.27	4557	0.467	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2002	602	0.93	9071	0.432	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2003	1775	1.18	5294	0.482	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2004	1000	1.44	12662	0.427	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2005	1792	2.20	17019	0.451	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2006	1357	2.19	6987	0.383	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2007	891	2.99	15686	0.309	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2008	1130	3.08	13144	0.376	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2009	1102	4.19	22645	0.394	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2010	906	2.57	0	0.44	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2011	1051	4.30	14235	0.576	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
2012	1176	2.86	9767	0.233	0.1	0.15	0.3	0.05	50	50	25	25	#																																				
