Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
127.989 0.00438268 0.00438268 0.00438268 0.00438268 0.111696 0.111696 0.111696 0.111696
127.989 0.00438268 0.00438268 0.00438268 0.00438268 0.111696 0.111696 0.111696 0.111696
127.99 0.0043827 0.0043827 0.0043827 0.0043827 0.111696 0.111696 0.111696 0.111696
127.995 0.00438289 0.00438289 0.00438289 0.00438289 0.111696 0.111696 0.111696 0.111696
128.05 0.00438477 0.00438477 0.00438477 0.00438477 0.111696 0.111696 0.111696 0.111696
128.603 0.0044037 0.0044037 0.0044037 0.0044037 0.111696 0.111696 0.111696 0.111696
134.262 0.00459748 0.00459748 0.00459748 0.00459748 0.111696 0.111696 0.111696 0.111696
206.525 0.00707197 0.00707197 0.00707197 0.00707197 0.111696 0.111696 0.111696 0.111696
554.415 0.0189846 0.0189846 0.0189846 0.0189846 0.111696 0.111696 0.111696 0.111696
4640.91 0.158917 0.158917 0.158917 0.158917 0.111696 0.111696 0.111696 0.111696
372812 12.7661 12.7661 12.7661 12.7661 0.111696 0.111696 0.111696 0.111696
372812 12.7661 12.7661 12.7661 12.7661 0.111696 0.111696 0.111696 0.111696
372812 12.7661 12.7661 12.7661 12.7661 0.111696 0.111696 0.111696 0.111696
372812 12.7661 12.7661 12.7661 12.7661 0.111696 0.111696 0.111696 0.111696
372811 12.7661 12.7661 12.7661 12.7661 0.111696 0.111696 0.111696 0.111696
372801 12.7668 12.7668 12.7668 12.7668 0.111699 0.111699 0.111699 0.111699
372698 12.7737 12.7737 12.7737 12.7737 0.111732 0.111732 0.111732 0.111732
371667 12.8422 12.8422 12.8422 12.8422 0.112054 0.112054 0.112054 0.112054
361656 13.5575 13.5575 13.5575 13.5575 0.115284 0.115284 0.115284 0.115284
286228 24.8492 24.8492 24.8492 24.8492 0.14728 0.14728 0.14728 0.14728
1.66586e+06 1555.96 1555.96 1555.96 1555.96 0.0176751 0.0176751 0.0176751 0.0176751
3.2825e+07 50867.8 50867.8 50867.8 50867.8 0.000412232 0.000412232 0.000412232 0.000412232
3.82145e+06 52275.7 52275.7 52275.7 52275.7 0.000340155 0.000340155 0.000340155 0.000340155
827.788 25.4761 25.4761 25.4761 25.4761 0.166957 0.166957 0.166957 0.166957
248473 2667.57 2667.57 2667.57 2667.57 0.00232716 0.00232716 0.00232716 0.00232716
3127.45 24.3287 24.3287 24.3287 24.3287 0.0661804 0.0661804 0.0661804 0.0661804
322.768 9.53026 9.53026 9.53026 9.53026 0.296933 0.296933 0.296933 0.296933
202.026 36.0082 36.0082 36.0082 36.0082 0.250771 0.250771 0.250771 0.250771
220.522 17.5117 17.5117 17.5117 17.5117 0.336331 0.336331 0.336331 0.336331
47.6921 16.1285 16.1285 16.1285 16.1285 0.664539 0.664539 0.664539 0.664539
41.1454 27.7022 27.7022 27.7022 27.7022 0.436449 0.436449 0.436449 0.436449
38.5801 20.4305 20.4305 20.4305 20.4305 0.594262 0.594262 0.594262 0.594262
22.5226 14.437 14.437 14.437 14.437 0.93383 0.93383 0.93383 0.93383
23.9615 15.7026 15.7026 15.7026 15.7026 0.83998 0.83998 0.83998 0.83998
26.1341 17.1601 17.1601 17.1601 17.1601 0.756277 0.756277 0.756277 0.756277
22.0522 14.1965 14.1965 14.1965 14.1965 0.941683 0.941683 0.941683 0.941683
21.071 13.7332 13.7332 13.7332 13.7332 1.01791 1.01791 1.01791 1.01791
