"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1985 697.95 8923.6 108.04 0.818730753077982 2.9109909266608 0.585870609013316 0.17112039983863
"V2" 1986 864.27 8980.6 103.94 0.818730753077982 2.9109909266608 0.725482328607979 0.185531033561232
"V3" 1987 1103.5 9204.2 169.33 0.389703143581302 1.38558654452828 0.926295890889311 0.12514178309902
"V4" 1988 990.29 10535 235.17 0.818730753077982 2.9109909266608 0.831265571172429 0.228348362600854
"V5" 1989 865.36 10357 179.17 0.663690070345922 2.35974496576389 0.726397292378771 0.147113063628464
"V6" 1990 928.32 10950 146.56 0.524085730614758 1.86338280426929 0.779246942845823 0.101346118721461
"V7" 1991 950.81 12359 221.72 0.818730753077982 2.9109909266608 0.79812541551107 0.16551905493972
"V8" 1992 1144 12852 227.66 0.241955851811238 0.860272179378989 0.960292251180219 0.0605963274198568
"V9" 1993 1394.3 14937 242.86 0.223442761142275 0.794449027189828 1.17039815194107 0.0583728325634331
"V10" 1994 1645.9 16185 145.84 0.207193943341782 0.736676479855581 1.38159529389644 0.0551652147049737
"V11" 1995 1716.1 17090 163.28 0.407403982431639 1.44852174159264 1.44052231840068 0.108931538911644
"V12" 1996 1609.7 16479 142.46 0.494439737928335 1.75797670415934 1.35120842371049 0.165617452515323
"V13" 1997 1700.2 14971 169.59 0.158976322968217 0.565239099636333 1.42717559917536 0.116851245741767
"V14" 1998 1705.8 14476 151.68 0.296977173510524 1.05590006759177 1.43187633047484 0.156090080132633
"V15" 1999 1263.2 13476 153.99 0.818730753077982 2.9109909266608 1.06035067455494 0.270279756604334
"V16" 2000 1088.5 11106 145.33 0.506004356524258 1.79909461707084 0.913704646337123 0.233901494687556
"V17" 2001 922.46 10329 184.89 0.818730753077982 2.9109909266608 0.774327963307434 0.221788169232259
"V18" 2002 1036.5 10183 195.63 0.197010155659858 0.70046810069104 0.870054998556204 0.0617520377099087
"V19" 2003 1031.5 12481 260.18 0.661047222951991 2.350348342081 0.865857917038808 0.153643938786956
"V20" 2004 1167.5 13094 192.58 0.28794090813077 1.02377169519038 0.980018534311981 0.0781541163891859
"V21" 2005 1260.3 14921 237.23 0.547824663690703 1.94778639914207 1.05791636727485 0.131911400040212
"V22" 2006 1464.7 15260 180.53 0.273760949630807 0.973354961265782 1.229493059706 0.0956657929226736
"V23" 2007 1763.7 15993 190.01 0.169381789930691 0.602235657786318 1.48047853444629 0.0592130307009317
"V24" 2008 2047.3 16854 161.77 0.142487642832283 0.506613723604142 1.71853699811299 0.0713883944464222
"V25" 2009 2264.3 16727 109 0.129613284041052 0.460839039451929 1.90069033596798 0.0707658277037126
"V26" 2010 2411.8 17389 265.64 0.112230554636865 0.399034878088798 2.02450424073117 0.0558517453562597
"V27" 2011 2369.8 17723 153.05 0.197760218468126 0.703134943265457 1.98924875598504 0.0660920837330023
"V28" 2012 2431.2 17112 78.095 0.0687210308974901 0.24433709942042 2.04078891701866 0.0717870500233754
"V29" 2013 2531.4 15876 57.92 0.087615268349539 0.311515416079853 2.12489843062728 0.0399067775258251
"V30" 2014 2554.7 15173 96.959 0.0824387240826862 0.293110252556172 2.14445683049834 0.0612489949251961
"V31" 2015 2379.7 13838 67.634 0.141961412679926 0.504742716324781 1.99755897738948 0.0972134701546466
"V32" 2016 2048.2 11921 51.599 0.186840493883836 0.66430994607682 1.71929247278612 0.142114755473534
"V33" 2017 1789.5 9748.5 53.369 0.125669479143553 0.446816871321586 1.50213547507605 0.0902137764784326
"V34" 2018 1610.2 8800.1 82.331 0.0980870430632455 0.348747730931879 1.35162813186223 0.0994089839888183
"V35" 2019 1457.7 8284.9 109.95 0.0957514028359987 0.340443379979018 1.22361714558165 0.106469842725923
