      "years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1979 4815.9 33461 599.28 0.0392540757256808 0.0978053408023462 1.10868364105161 0.0119520934819641
"V2" 1980 5431.2 40319 379.35 0.152422348923725 0.379775080849149 1.25033380910723 0.0380490587564176
"V3" 1981 4983.2 43019 180.71 0.818730753077982 2.03994716089484 1.14719830563101 0.160476533624677
"V4" 1982 4241 37508 108.63 0.818730753077982 2.03994716089484 0.976334085363046 0.175826756958516
"V5" 1983 3323.2 31287 141.59 0.818730753077982 2.03994716089484 0.765044431143239 0.197618819317928
"V6" 1984 3122.1 25989 232.32 0.273980046017382 0.682647885051119 0.718748561167641 0.0719565970218169
"V7" 1985 3672 32691 938.63 0.358222850075937 0.892547010397279 0.845342787421152 0.0775390780337096
"V8" 1986 5132.2 40903 852.36 0.337699105633335 0.841410108492447 1.18150006906395 0.0701645356086351
"V9" 1987 6739.8 43681 180.48 0.450899861824015 1.12346078306914 1.55159077305585 0.119439573269843
"V10" 1988 7946.7 42656 262.44 0.299242798498962 0.745592485589755 1.82943505686265 0.101784743060765
"V11" 1989 8788 42729 424.72 0.141550320954263 0.352686367610891 2.02311340301119 0.0592506260385218
"V12" 1990 9268.4 49497 938.11 0.239404664959919 0.596499966263573 2.13370781343524 0.0950128290603471
"V13" 1991 9818.4 52205 567.15 0.243022803130762 0.605514908796988 2.26032506100649 0.0923038023177857
"V14" 1992 10908 52811 376.77 0.140872507467453 0.350997529500392 2.51116533910401 0.0579006267633637
"V15" 1993 12090 52741 241.92 0.0538044016556659 0.134058890530849 2.7832773147935 0.0260901386018468
"V16" 1994 12163 52580 230.74 0.147651575550875 0.367888235801946 2.80008287674386 0.0781369341955116
"V17" 1995 11344 47450 150.8 0.141182768145488 0.35177057410256 2.6115382844514 0.0812857744994731
"V18" 1996 10086 41427 110.35 0.144308775611927 0.359559325205563 2.32193010727934 0.0879889926859295
"V19" 1997 7717.5 37767 355.79 0.405834434236273 1.01117589488518 1.77667019660205 0.245305954934202
"V20" 1998 6005.4 30414 405.78 0.398064988236975 0.991817565851603 1.38252221557162 0.201438811073848
"V21" 1999 6116.5 29401 513.97 0.121772588792355 0.303408227732857 1.40809889958101 0.105119893881161
"V22" 2000 7682 40402 1258.5 0.0958759606046932 0.238884264330279 1.76849762880427 0.0331835057670412
"V23" 2001 10189 50420 629.05 0.0187174319406627 0.0466362989335035 2.34564206455177 0.00539442681475605
"V24" 2002 13186 61418 713.16 0.0137791320719397 0.0343320453568831 3.03559095722639 0.00500838516395845
"V25" 2003 16028 71248 725.63 0.0106840852985591 0.0266204358265726 3.68985680740366 0.00547372557826185
"V26" 2004 18146 76709 437.11 0.0230935943679018 0.057539932497407 4.17744831714167 0.0101360596540171
"V27" 2005 19567 81515 670.73 0.0259029089995173 0.0645396126551139 4.50458124223031 0.014308164141569
"V28" 2006 19978 82896 463.84 0.060870903103012 0.151665764965185 4.59919885814264 0.0324629656436981
"V29" 2007 19645 79984 335.08 0.0638703520146398 0.159139183141455 4.52253787006768 0.0416489547909582
"V30" 2008 19002 78645 687.56 0.0717979036808307 0.17889144779439 4.37451079699802 0.0568955432640346
"V31" 2009 18173 73445 321.12 0.0702215524579038 0.174963815676391 4.18366407293153 0.058677786098441
"V32" 2010 16671 67397 265.66 0.135335283236613 0.337200997726698 3.83788388047332 0.0676041960324643
"V33" 2011 15212 60537 253.1 0.0885932153932609 0.220738597562871 3.5020028546434 0.0598752828848473
"V34" 2012 13999 54230 203.88 0.0609135276520358 0.151771968167445 3.22275427045444 0.0500326387608335
"V35" 2013 12871 49575 272.02 0.0537990214845134 0.134045485312068 2.96307380634468 0.0449407967725668
"V36" 2014 11734 44925 172.47 0.0575615769907908 0.143420257658025 2.70132142363829 0.040071897607123
"V37" 2015 10449 40519 137.17 0.0903648422856093 0.225152777970318 2.40549749067637 0.0738283274513191
"V38" 2016 9244.2 34358 66.599 0.0656052208546483 0.163461777292701 2.12813665454211 0.0641850515163863
"V39" 2017 7916.5 29059 54.449 0.103157327981087 0.257026498087916 1.82248261890511 0.0949014074813311
"V40" 2018 6607.5 23738 78.386 0.103198599165966 0.257129329252012 1.52113356968553 0.103746735192518
"V41" 2019 5604.4 20534 202.51 0.0860092870160718 0.214300489140553 1.29020673143331 0.125743644686861
