Bcru_last CTP1 CTP2 CTP3 CTP4 BDp1/BDlast BDp2/BDlast BDp3/BDlast BDp4/BDlast 
164.171 62.9415 62.9415 62.9415 62.9415 0.376863 0.376863 0.376863 0.376863
164.171 62.9415 62.9415 62.9415 62.9415 0.376863 0.376863 0.376863 0.376863
164.172 62.9418 62.9418 62.9418 62.9418 0.376863 0.376863 0.376863 0.376863
164.18 62.9449 62.9449 62.9449 62.9449 0.376863 0.376863 0.376863 0.376863
164.26 62.9755 62.9755 62.9755 62.9755 0.376863 0.376863 0.376863 0.376863
165.061 63.2824 63.2824 63.2824 63.2824 0.376863 0.376863 0.376863 0.376863
173.285 66.4354 66.4354 66.4354 66.4354 0.376863 0.376863 0.376863 0.376863
281.788 108.034 108.034 108.034 108.034 0.376863 0.376863 0.376863 0.376863
862.853 330.808 330.808 330.808 330.808 0.376863 0.376863 0.376863 0.376863
9826.63 3767.42 3767.42 3767.42 3767.42 0.376863 0.376863 0.376863 0.376863
541232 207502 207502 207502 207502 0.376863 0.376863 0.376863 0.376863
541232 207502 207502 207502 207502 0.376863 0.376863 0.376863 0.376863
541232 207502 207502 207502 207502 0.376863 0.376863 0.376863 0.376863
541233 207503 207503 207503 207503 0.376862 0.376862 0.376862 0.376862
541239 207505 207505 207505 207505 0.376858 0.376858 0.376858 0.376858
541300 207532 207532 207532 207532 0.376811 0.376811 0.376811 0.376811
541915 207798 207798 207798 207798 0.376347 0.376347 0.376347 0.376347
548484 210666 210666 210666 210666 0.371425 0.371425 0.371425 0.371425
571920 221282 221282 221282 221282 0.355779 0.355779 0.355779 0.355779
770582 312861 312861 312861 312861 0.252152 0.252152 0.252152 0.252152
656382 259565 259565 259565 259565 0.303573 0.303573 0.303573 0.303573
1.05515e+06 425023 425023 425023 425023 0.177832 0.177832 0.177832 0.177832
857509 341347 341347 341347 341347 0.224674 0.224674 0.224674 0.224674
1.12179e+06 384085 384085 384085 384085 0.154277 0.154277 0.154277 0.154277
889725 340366 340366 340366 340366 0.210432 0.210432 0.210432 0.210432
921321 334617 334617 334617 334617 0.196414 0.196414 0.196414 0.196414
901839 336317 336317 336317 336317 0.204035 0.204035 0.204035 0.204035
900663 325758 325758 325758 325758 0.199998 0.199998 0.199998 0.199998
882901 312570 312570 312570 312570 0.200215 0.200215 0.200215 0.200215
829148 284851 284851 284851 284851 0.207606 0.207606 0.207606 0.207606
830954 277032 277032 277032 277032 0.193645 0.193645 0.193645 0.193645
814703 262075 262075 262075 262075 0.183777 0.183777 0.183777 0.183777
816238 266899 266899 266899 266899 0.189131 0.189131 0.189131 0.189131
840205 279861 279861 279861 279861 0.168906 0.168906 0.168906 0.168906
823988 271451 271451 271451 271451 0.180888 0.180888 0.180888 0.180888
732002 236527 236527 236527 236527 0.195995 0.195995 0.195995 0.195995
673622 227987 227987 227987 227987 0.196149 0.196149 0.196149 0.196149
613097 226523 226523 226523 226523 0.193331 0.193331 0.193331 0.193331
