"years" "BD" "BT" "R" "F_est" "F/FRMS" "BD/BDRMS" "Y/BT"
"V1" 1979 4258.1 34317 628.85 0.040701106506958 0.0916031385194409 1.07283518131446 0.0116903575487368
"V2" 1980 4881.7 41181 395.3 0.157835804237314 0.355230023940659 1.22995220981724 0.0373543624487021
"V3" 1981 4551.8 43596 185.53 0.818730753077982 1.84266013926445 1.14683337129404 0.153899210936783
"V4" 1982 3875.8 37993 111.88 0.818730753077982 1.84266013926445 0.976514078048564 0.173307451372621
"V5" 1983 3013.6 31579 145.21 0.818730753077982 1.84266013926445 0.75928139367541 0.195983723360461
"V6" 1984 2814.5 26231 242.17 0.280074399110193 0.630343894288335 0.709117826685506 0.0717181960276009
"V7" 1985 3403.6 33445 984.92 0.372339204547966 0.837997849630821 0.857542524393955 0.0765076992076544
"V8" 1986 4863.7 41936 894.88 0.347879195097259 0.782947414244822 1.22541708070716 0.0687631152231973
"V9" 1987 6335.8 44314 191 0.457590774381212 1.02986760528721 1.59631505642708 0.118249988716884
"V10" 1988 7336.4 43005 279.29 0.303097725218297 0.68216088678947 1.84841784462446 0.101217532845018
"V11" 1989 8005.5 43173 463.52 0.143302141512411 0.322520124037656 2.01699867171107 0.0586447548236166
"V12" 1990 8457.3 50296 978.45 0.243655484548335 0.548378386181884 2.13083041237425 0.0935796087163989
"V13" 1991 9007.5 53076 604.78 0.247486312879388 0.557000164024549 2.26945419217257 0.0908881603738036
"V14" 1992 9983.4 53474 396.74 0.142288299705066 0.320238341071899 2.51533377542444 0.0572042487938063
"V15" 1993 10950 53079 254.46 0.0540146485370539 0.121566997967802 2.7588702086361 0.0259277680438592
"V16" 1994 10881 52608 239.46 0.148882183586588 0.335078735115656 2.74148554704743 0.078093445863747
"V17" 1995 10026 47204 156.09 0.142658730635833 0.321072044102974 2.52606691431831 0.0815634268282349
"V18" 1996 8813.4 41015 116.35 0.146431139290596 0.329562340859282 2.2205503832688 0.0886660977691089
"V19" 1997 6717.3 37496 375.11 0.413809316261805 0.931331734474713 1.6924345983992 0.247140228291018
"V20" 1998 5322.8 30390 431.07 0.393560686756727 0.885759557878843 1.34108806817609 0.19517341230668
"V21" 1999 5558 29987 555.86 0.11969601003676 0.269391452189323 1.40034708854789 0.103790309133958
"V22" 2000 7177.2 41915 1340.1 0.0970528115178025 0.218429986311223 1.80830714716192 0.0322946439222236
"V23" 2001 9583.5 52204 683.71 0.0188942053342151 0.0425238686852159 2.41457832369534 0.00521484943682476
"V24" 2002 12352 63455 774.99 0.0136898581679783 0.0308108079041643 3.11210637598841 0.0048497360334095
"V25" 2003 14904 73474 786.87 0.0104505570058145 0.0235203389579909 3.75508690315181 0.00530972861148161
"V26" 2004 16726 78874 485.62 0.0230152094768764 0.0517987249659625 4.21414274973948 0.00986030884702183
"V27" 2005 17931 83862 732.08 0.0255325798788581 0.057464394757963 4.51774444849807 0.0139215616131263
"V28" 2006 18236 85300 516.42 0.0604100377460819 0.13596065391178 4.59458969175231 0.0316369284876905
"V29" 2007 17883 82326 374.79 0.0625868554350647 0.140859865491233 4.50565077087117 0.04064001651969
"V30" 2008 17348 81516 770.99 0.0694116887402062 0.156220041277021 4.3708566556547 0.0553144168016095
"V31" 2009 16651 76312 357.08 0.0673669996771363 0.15161820237022 4.19524637844745 0.0568658926512213
"V32" 2010 15321 70247 304.73 0.134391244245249 0.30246498974894 3.86015072753549 0.0652217176534229
"V33" 2011 14031 63453 295.71 0.0849748456345516 0.191246951824252 3.53513314131261 0.0573400784832868
"V34" 2012 12958 57227 243.91 0.0574235948508123 0.129239275411443 3.26478905602799 0.0475195274957625
"V35" 2013 12010 53140 353.75 0.050388112238996 0.113405005939404 3.02593892289676 0.0419984945427174
"V36" 2014 11093 49027 239.29 0.054155269351092 0.121883483415313 2.79489928989956 0.0367554612764395
"V37" 2015 10111 45505 234.02 0.0827939738358305 0.186338615943083 2.54748280178261 0.0658712229425338
"V38" 2016 9227.2 40145 145 0.0581866111313302 0.130956542877499 2.32480796247735 0.0551321459708557
"V39" 2017 8219.7 35261 95.855 0.0892869444996402 0.200951891653853 2.07096670812111 0.0789430248716712
"V40" 2018 7143.5 29596 64.055 0.0845679437213488 0.190331166099543 1.79981637766136 0.0839407352344912
"V41" 2019 6009.7 24816 99.396 0.111983918815544 0.252034386963323 1.51415363404935 0.0998190683430045
"V42" 2020 5150.1 21883 222.13 0.0924950638196097 0.208172181805027 1.29757602388098 0.116744961842526
